epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0010000000474974513,0.7394682168960571,1.2393156290054321,1.6973750591278076,0.7499128580093384,1.2498506307601929,1.7371245622634888
1,0.0010000000474974513,0.696250855922699,1.1951366662979126,1.5903801918029785,0.8148043155670166,1.314799427986145,1.940324306488037
2,0.0010000000474974513,0.6627449989318848,1.1597288846969604,1.5108650922775269,1.0678834915161133,1.5678834915161133,2.68165922164917
3,0.0010000000474974513,0.6241499781608582,1.1182869672775269,1.4121462106704712,1.9565800428390503,2.45658016204834,6.3319573402404785
4,0.0010000000474974513,0.5864465832710266,1.0766785144805908,1.325609803199768,5.39258337020874,5.89258337020874,35.72770690917969
5,0.0010000000474974513,0.5356593728065491,1.0205841064453125,1.1986379623413086,18.1549072265625,18.6549072265625,358.9400329589844
6,0.0010000000474974513,0.5116137862205505,0.9911515116691589,1.136429786682129,64.62696838378906,65.12696838378906,4376.333984375
7,0.0005000000237487257,0.501687228679657,0.9766983985900879,1.1291468143463135,228.02987670898438,228.52987670898438,53884.15625
8,0.0005000000237487257,0.45304128527641296,0.9235058426856995,0.9888296127319336,782.8814086914062,783.3814086914062,634171.0
9,0.0005000000237487257,0.46497002243995667,0.931404709815979,1.0465718507766724,2612.605224609375,2613.105224609375,7026030.5
10,0.0005000000237487257,0.4347766041755676,0.8975566029548645,0.9619359970092773,8631.5615234375,8632.0615234375,76896688.0
11,0.0005000000237487257,0.4319041669368744,0.8904461860656738,0.963075578212738,27201.646484375,27202.146484375,763660480.0
12,0.0005000000237487257,0.413785845041275,0.8675978183746338,0.9124184846878052,78724.2734375,78724.78125,6395140608.0
